Sentence,Output
" Her parts were of a silent movie star in the 1920 s and a deaf librarian in the 1970 s ; in preparation , she studied sign language and watched the films of Lillian Gish"," Her parts were of a silent movie star in the 1920 s and a deaf librarian in the 1970 s ; in preparation , she studied sign language and watched the films of [Name]"
 He began publishing articles in Henri Berr 's Revue de Synthèse Historique, He began publishing articles in [Name] 's Revue de Synthèse Historique
" His most successful album of this period was Crises ( 1983 ) , which features the worldwide hit single Moonlight Shadow with vocalist Maggie Reilly"," His most successful album of this period was Crises ( 1983 ) , which features the worldwide hit single Moonlight Shadow with vocalist [Name]"
" As his behaviour becomes more erratic , Reggie is unable to dictate letters without uttering words like breast"," As his behaviour becomes more erratic , [Name] is unable to dictate letters without uttering words like breast"
" In August 2020 , Halford confirmed that he had completed an audiobook version of the publication , to be made available at the same time as the physical release"," In August 2020 , [Name] confirmed that he had completed an audiobook version of the publication , to be made available at the same time as the physical release"
" Rome outgrew the Servian Wall , but no more walls were constructed until almost 700 years later , when , in 270 AD , Emperor Aurelian began building the Aurelian Walls"," Rome outgrew the Servian Wall , but no more walls were constructed until almost 700 years later , when , in 270 AD , Emperor [Name] began building the Aurelian Walls"
" It takes its name from the Greek word for a rainbow , which is also the name for the Greek goddess of the rainbow , Iris"," It takes its name from the Greek word for a rainbow , which is also the name for the Greek goddess of the rainbow , [Name]"
" There are , however , matrices for which the reverse Cuthill–McKee algorithm performs better"," There are , however , matrices for which the reverse [Name] algorithm performs better"
" A large group of artists , including Martin Scorsese and Alec Baldwin , and scholars signed a legal brief arguing the film 's artistic merit ; the Ohio state court dismissed the case because the police violated the owners ' Fourth Amendment rights , without reaching the question of whether the film was obscene"," A large group of artists , including [Name] and [Name] , and scholars signed a legal brief arguing the film 's artistic merit ; the Ohio state court dismissed the case because the police violated the owners ' Fourth Amendment rights , without reaching the question of whether the film was obscene"
" Williamina Fleming classified most of the spectra in this catalogue and was credited with classifying over 10,000 featured stars and discovering 10 novae and more than 200 variable stars"," [Name] classified most of the spectra in this catalogue and was credited with classifying over 10,000 featured stars and discovering 10 novae and more than 200 variable stars"
" This introduced him to Jules Laforgue , Arthur Rimbaud , and Paul Verlaine"," This introduced him to [Name] , [Name] , and [Name]"
 Peruvian midfielder Renato Tapia admitted to the speculation by saying that the Colombians approached them about the draw as they knew the results of the other games, Peruvian midfielder [Name] admitted to the speculation by saying that the Colombians approached them about the draw as they knew the results of the other games
 Lee Baxter began the 1998 season as the first choice, [Name] began the 1998 season as the first choice
" The constitution mandated a new election within sixty days , but owing to the crisis Hindenburg postponed it"," The constitution mandated a new election within sixty days , but owing to the crisis [Name] postponed it"
" Mohamed Atta , Marwan al-Shehhi , Ziad Jarrah , Ramzi bin al-Shibh , and Said Bahaji were all members of al-Qaeda 's Hamburg cell"," [Name] , [Name] , [Name] , [Name] , and [Name] were all members of al-Qaeda 's Hamburg cell"
" Concurrently she launched CASH Music , a subscription-based , direct-to-consumer website , that was formed along with fellow musician Donita Sparks"," Concurrently she launched CASH Music , a subscription-based , direct-to-consumer website , that was formed along with fellow musician [Name]"
 His replacement was Joe Gibbs, His replacement was [Name]
" He resigned the premiership on 27 April 1909 , but was not relieved of his office until the formation of the Khuen-Héderváry cabinet on 17 January 1910"," He resigned the premiership on 27 April 1909 , but was not relieved of his office until the formation of the [Name] cabinet on 17 January 1910"
 Sheikh Abdullah went to Pakistan in the spring of 1964, [Name] went to Pakistan in the spring of 1964
 He was cast and shared top billing with Barbra Streisand and Walter Matthau, He was cast and shared top billing with [Name] and [Name]
 His close friends included the philosopher and fellow émigré Isaiah Berlin and composer Igor Stravinsky, His close friends included the philosopher and fellow émigré [Name] and composer [Name]
 He also appeared in eight films produced by Hal B. Wallis and two with producer Mark Hellinger, He also appeared in eight films produced by [Name] and two with producer [Name]
" Fluoxetine was developed at Eli Lilly and Company in the early 1970 s by Bryan Molloy , Klaus Schmiegel , David T. Wong and others"," Fluoxetine was developed at Eli Lilly and Company in the early 1970 s by [Name] , [Name] , [Name] and others"
" Many revolutionaries of the 19th century such as William Godwin ( 1756 – 1836 ) and Wilhelm Weitling ( 1808 – 1871 ) would contribute to the anarchist doctrines of the next generation , but they did not use anarchist or anarchism in describing themselves or their beliefs"," Many revolutionaries of the 19th century such as [Name] ( 1756 – 1836 ) and [Name] ( 1808 – 1871 ) would contribute to the anarchist doctrines of the next generation , but they did not use anarchist or anarchism in describing themselves or their beliefs"
 Director Wolfgang Petersen has overseen the creation of several different versions of his film, Director [Name] has overseen the creation of several different versions of his film
" Ecological systems theory , originally formulated by Urie Bronfenbrenner , specifies four types of nested environmental systems , with bi-directional influences within and between the systems"," Ecological systems theory , originally formulated by [Name] , specifies four types of nested environmental systems , with bi-directional influences within and between the systems"
 Adolf Hitler took a similar approach in some of his speeches from 1920 onwards, [Name] took a similar approach in some of his speeches from 1920 onwards
" The first political philosopher to call himself an anarchist ( ) was Pierre-Joseph Proudhon ( 1809 – 1865 ) , marking the formal birth of anarchism in the mid-19 th century"," The first political philosopher to call himself an anarchist ( ) was [Name] ( 1809 – 1865 ) , marking the formal birth of anarchism in the mid-19 th century"
" The immediate reaction of the Southern military and public sectors was that Gettysburg was a setback , not a disaster"," The immediate reaction of the Southern military and public sectors was that [Name] was a setback , not a disaster"
" On two separate but related occasions in 1925 , the con artist Victor Lustig sold the tower for scrap metal"," On two separate but related occasions in 1925 , the con artist [Name] sold the tower for scrap metal"
" In other words : the numbers , sometimes called Euler zigzag numbers , are integers"," In other words : the numbers , sometimes called [Name] zigzag numbers , are integers"
" In China , philosophical anarchism ( i.e. the discussion on the legitimacy of the state ) was delineated by Taoist philosophers Zhuang Zhou and Laozi"," In China , philosophical anarchism ( i.e. the discussion on the legitimacy of the state ) was delineated by Taoist philosophers [Name] and [Name]"
" By August , Sun had released ten sides credited to Elvis Presley , Scotty and Bill ; on the latest recordings , the trio were joined by a drummer"," By August , Sun had released ten sides credited to [Name] , [Name] ; on the latest recordings , the trio were joined by a drummer"
" D'Abreu sailed through Ambon and Seram while his second in command Francisco Serrão went ahead towards the Maluku islands , was shipwrecked and ended up in Ternate"," D'Abreu sailed through Ambon and Seram while his second in command [Name] went ahead towards the Maluku islands , was shipwrecked and ended up in Ternate"
" Common non-alcoholic drinks include tea , the popularity of which was increased by Catherine of Braganza , and coffee ; frequently consumed alcoholic drinks include wine , ciders and English beers , such as bitter , mild , stout and brown ale"," Common non-alcoholic drinks include tea , the popularity of which was increased by [Name] , and coffee ; frequently consumed alcoholic drinks include wine , ciders and English beers , such as bitter , mild , stout and brown ale"
" In the early morning of 25 December 1977 , Chaplin died at home after suffering a stroke in his sleep"," In the early morning of 25 December 1977 , [Name] died at home after suffering a stroke in his sleep"
" Carloman resigned office in 746 , preferring to enter the church as a monk"," [Name] resigned office in 746 , preferring to enter the church as a monk"
" In 1821 , he was appointed physician extraordinary to King George IV , and was also made mayor of Berkeley and justice of the peace"," In 1821 , he was appointed physician extraordinary to King [Name] , and was also made mayor of Berkeley and justice of the peace"
" Upon arrival , Rommel concurred with the plan"," Upon arrival , [Name] concurred with the plan"
" The Soviet Union provided some limited assistance at the beginning of the war , but the result was a bitter fight among communists and anarchists at a series of events named May Days as Joseph Stalin tried to seize control of the Republicans"," The Soviet Union provided some limited assistance at the beginning of the war , but the result was a bitter fight among communists and anarchists at a series of events named May Days as [Name] tried to seize control of the Republicans"
" In 1917 – 19 , Federico Tinoco Granados ruled as a dictator"," In 1917 – 19 , [Name] ruled as a dictator"
 This includes writers such as Stephanos Stephanides and Othello, This includes writers such as [Name] and [Name]
" William requested of the king that he take care of both the lands and the duchess , and find her a suitable husband"," [Name] requested of the king that he take care of both the lands and the duchess , and find her a suitable husband"
 It was written by the Icelandic scholar and historian Snorri Sturluson around 1220, It was written by the Icelandic scholar and historian [Name] around 1220
" Soon after , Tony Hoare gave the problem its present formulation"," Soon after , [Name] gave the problem its present formulation"
" While Tiān has some characteristics that overlap the category of godhead , it is primarily an impersonal absolute principle , like the Dào ( ) or the Brahman"," While Tiān has some characteristics that overlap the category of godhead , it is primarily an impersonal absolute principle , like the Dào ( ) or the [Name]"
" Confucius 's disciples and his only grandson , Zisi , continued his philosophical school after his death"," [Name] 's disciples and his only grandson , [Name] , continued his philosophical school after his death"
 John Locke is sometimes considered the founder of this form, [Name] is sometimes considered the founder of this form
" One reaction against sectarianism within the anarchist milieu was anarchism without adjectives , a call for toleration and unity among anarchists first adopted by Fernando Tarrida del Mármol in 1889 in response to the bitter debates of anarchist theory at the time"," One reaction against sectarianism within the anarchist milieu was anarchism without adjectives , a call for toleration and unity among anarchists first adopted by [Name] in 1889 in response to the bitter debates of anarchist theory at the time"
 Mutualism is an 18th - century economic theory that was developed into anarchist theory by Pierre-Joseph Proudhon, Mutualism is an 18th - century economic theory that was developed into anarchist theory by [Name]
 Collectivist anarchism is a revolutionary socialist form of anarchism commonly associated with Mikhail Bakunin, Collectivist anarchism is a revolutionary socialist form of anarchism commonly associated with [Name]
 Faith healing or divine healing is considered to be an inheritance of Jesus acquired by his death and resurrection, Faith healing or divine healing is considered to be an inheritance of [Name] acquired by his death and resurrection
 His father was Emperor Kōgon, His father was Emperor [Name]
" Early influences on individualist forms of anarchism include William Godwin , Max Stirner and Henry David Thoreau"," Early influences on individualist forms of anarchism include [Name] , [Name] and [Name]"
 Context-sensitive is one of the four types of grammars in the Chomsky hierarchy, Context-sensitive is one of the four types of grammars in the [Name] hierarchy
" In the mathematical field of graph theory , a cuboctahedral graph is the graph of vertices and edges of the cuboctahedron , one of the Archimedean solids"," In the mathematical field of graph theory , a cuboctahedral graph is the graph of vertices and edges of the cuboctahedron , one of the [Name] solids"
" In science fiction , Camouflage is a novel about shapeshifting alien beings by Joe Haldeman"," In science fiction , Camouflage is a novel about shapeshifting alien beings by [Name]"
 Branwell may have had a laudanum addiction, [Name] may have had a laudanum addiction
" When his reforms were blocked by a financial official about to become a judge for life , Hannibal rallied the populace against the 104 judges"," When his reforms were blocked by a financial official about to become a judge for life , [Name] rallied the populace against the 104 judges"
" Emma Goldman and Errico Malatesta , who were proponents of limited use of violence , argued that violence is merely a reaction to state violence as a necessary evil"," [Name] and [Name] , who were proponents of limited use of violence , argued that violence is merely a reaction to state violence as a necessary evil"
" This portal lands them in AD 2300 , where they learn that an advanced civilization has been wiped out by a giant creature known as Lavos that appeared in 1999"," This portal lands them in AD 2300 , where they learn that an advanced civilization has been wiped out by a giant creature known as [Name] that appeared in 1999"
" In contrast with the big-A anarchism of the classical era , the newly coined term small-a anarchism signals their tendency not to base their thoughts and actions on classical-era anarchism or to refer to classical anarchists such as Peter Kropotkin and Pierre-Joseph Proudhon to justify their opinions"," In contrast with the big-A anarchism of the classical era , the newly coined term small-a anarchism signals their tendency not to base their thoughts and actions on classical-era anarchism or to refer to classical anarchists such as [Name] and [Name] to justify their opinions"
" On November 11 , he was released after the team re-signed running back Aveion Cason"," On November 11 , he was released after the team re-signed running back [Name]"
" In 1835 Chopin went to Carlsbad , where he spent time with his parents ; it was the last time he would see them"," In 1835 [Name] went to Carlsbad , where he spent time with his parents ; it was the last time he would see them"
" He then entered the service of Sir Augustine Nicolls , a relative of his mother 's , as a clerk"," He then entered the service of Sir [Name] , a relative of his mother 's , as a clerk"
" Late 20th century and contemporary anarchist writers ( Colin Ward , Herbert Read and Paul Goodman ) intensified and expanded the anarchist critique of state education , largely focusing on the need for a system that focuses on children 's creativity rather than on their ability to attain a career or participate in consumerism as part of a consumer society"," Late 20th century and contemporary anarchist writers ( [Name] , [Name] and [Name] ) intensified and expanded the anarchist critique of state education , largely focusing on the need for a system that focuses on children 's creativity rather than on their ability to attain a career or participate in consumerism as part of a consumer society"
 Titus Oates was convicted and imprisoned for defamation, [Name] was convicted and imprisoned for defamation
" Anarchists such as Leo Tolstoy and Herbert Read argued that the border between the artist and the non-artist , what separates art from a daily act , is a construct produced by the alienation caused by capitalism and it prevents humans from living a joyful life"," Anarchists such as [Name] and [Name] argued that the border between the artist and the non-artist , what separates art from a daily act , is a construct produced by the alienation caused by capitalism and it prevents humans from living a joyful life"
" Still , Roberto 's career was ultimately cut short by injury"," Still , [Name] 's career was ultimately cut short by injury"
" Throughout the 20th century , many prominent anarchists ( Peter Kropotkin , Emma Goldman , Gustav Landauer and Camillo Berneri ) and publications such as Anarchy wrote about matters pertaining to the arts"," Throughout the 20th century , many prominent anarchists ( [Name] , [Name] , [Name] and [Name] ) and publications such as Anarchy wrote about matters pertaining to the arts"
" In May 1963 , he published a book devoted to poet , novelist , and playwright Raymond Roussel"," In May 1963 , he published a book devoted to poet , novelist , and playwright [Name]"
" Philosopher Bertrand Russell supported this critique , noting that [ p ] eace and war , tariffs , regulations of sanitary conditions and the sale of noxious drugs , the preservation of a just system of distribution : these , among others , are functions which could hardly be performed in a community in which there was no central government"," Philosopher [Name] supported this critique , noting that [ p ] eace and war , tariffs , regulations of sanitary conditions and the sale of noxious drugs , the preservation of a just system of distribution : these , among others , are functions which could hardly be performed in a community in which there was no central government"
" 1949 ) , Jeb ( b"," 1949 ) , [Name] ( b"
 The philosophy of David Hume concerning causality and objectivity is an elaboration of another aspect of Berkeley 's philosophy, The philosophy of [Name] concerning causality and objectivity is an elaboration of another aspect of [Name] 's philosophy
 It is endorsed by Brian Lara, It is endorsed by [Name]
" It has been the ruling party of post-apartheid South Africa since the election of Nelson Mandela in the 1994 election , winning every election since then"," It has been the ruling party of post-apartheid South Africa since the election of [Name] in the 1994 election , winning every election since then"
" In 1662 – 1669 , it was rebuilt again in Renaissance style"," In 1662 – 1669 , it was rebuilt again in [Name] style"
" Wilhelm possessed a quick intelligence , but this was often overshadowed by a cantankerous temper"," [Name] possessed a quick intelligence , but this was often overshadowed by a cantankerous temper"
" The research on ideology , politics , and racist prejudice , by John Duckitt and Chris Sibley , identified two types of authoritarian worldview : ( i ) that the social world is dangerous , which leads to right-wing authoritarianism ; and ( ii ) that the world is a ruthlessly competitive jungle , which leads to social dominance orientation"," The research on ideology , politics , and racist prejudice , by [Name] and [Name] , identified two types of authoritarian worldview : ( i ) that the social world is dangerous , which leads to right-wing authoritarianism ; and ( ii ) that the world is a ruthlessly competitive jungle , which leads to social dominance orientation"
" He has been the subject of two films by Jeremy Marre , the first on Graceland , the second on The Capeman"," He has been the subject of two films by [Name] , the first on Graceland , the second on The Capeman"
 Referee Hugh Dallas was criticised for his actions during the game after he also sent off Gert Verheyen, Referee [Name] was criticised for his actions during the game after he also sent off [Name]
" Notably , Nelson Mandela and other Nobel laureates Nadine Gordimer , Archbishop Desmond Tutu , and F. W. de Klerk have expressed disappointment with the bill for not meeting standards of constitutionality and aspirations for freedom of information and expression"," Notably , [Name] and other Nobel laureates [Name] , Archbishop [Name] , and [Name] have expressed disappointment with the bill for not meeting standards of constitutionality and aspirations for freedom of information and expression"
" The family chose not to disclose that these were complications of AIDS , because within two days , on April 8 , Arthur Ashe announced his own HIV infection ( also contracted in 1983 from a blood transfusion during heart bypass surgery ) , which resulted in much public controversy ; also doctors continued to insist on secrecy"," The family chose not to disclose that these were complications of AIDS , because within two days , on April 8 , [Name] announced his own HIV infection ( also contracted in 1983 from a blood transfusion during heart bypass surgery ) , which resulted in much public controversy ; also doctors continued to insist on secrecy"
 These allegations were denied by the Gupta family, These allegations were denied by the [Name] family
" The first instrument he bought was an alto saxophone but after a year he switched to the tenor saxophone , influenced by the playing of Lester Young"," The first instrument he bought was an alto saxophone but after a year he switched to the tenor saxophone , influenced by the playing of [Name]"
" In 1700 , aged 18 , he started playing the organ at the Saint-Merri church in Paris ( a post previously occupied by Nicolas Lebègue ) and became its titular organist in 1705"," In 1700 , aged 18 , he started playing the organ at the Saint-Merri church in Paris ( a post previously occupied by [Name] ) and became its titular organist in 1705"
" Whig historian Herbert Butterfield , however , argued that his indolence was a barrier to efficient crisis management ; he neglected his role in supervising the entire war effort"," Whig historian [Name] , however , argued that his indolence was a barrier to efficient crisis management ; he neglected his role in supervising the entire war effort"
" Unlike with autism , people with Asperger syndrome have no substantial delay in language development"," Unlike with autism , people with [Name] syndrome have no substantial delay in language development"
" Created by writer Len Wein and artist Dave Cockrum , he first appeared in Giant-Size X-Men # 1 ( May 1975 )"," Created by writer [Name] and artist [Name] , he first appeared in Giant-Size X-Men # 1 ( May 1975 )"
" Although individuals with Asperger syndrome tend to perform better cognitively than those with autism , the extent of the overlap between Asperger syndrome , HFA , and non-syndromal autism is unclear"," Although individuals with [Name] syndrome tend to perform better cognitively than those with autism , the extent of the overlap between [Name] syndrome , HFA , and non-syndromal autism is unclear"
" Keyboardist Jeremy Inkel died January 23 , 2018 , due to complications resulting from an asthma condition , at the age of 34"," Keyboardist [Name] died January 23 , 2018 , due to complications resulting from an asthma condition , at the age of 34"
 The rapid response of the provincials was in large part due to Paul Revere and the Sons of Liberty, The rapid response of the provincials was in large part due to [Name] and the Sons of Liberty
 He rose to answer a question put forth by Speaker of the House Robert Charles Winthrop, He rose to answer a question put forth by Speaker of the House [Name]
" In 2009 , the video was included on Madonna 's compilation , Celebration : The Video Collection"," In 2009 , the video was included on [Name] 's compilation , Celebration : The Video Collection"
 He commented that Gene Shalit 's movie reviews are often late and his interviews are n't very good, He commented that [Name] 's movie reviews are often late and his interviews are n't very good
" In 1998 , he voiced Moses in the animated film The Prince of Egypt , before starring in the independent film Joe the King ( 1999 )"," In 1998 , he voiced [Name] in the animated film The Prince of Egypt , before starring in the independent film Joe the King ( 1999 )"
 The foreigner nukekubi also appears in Rokurokubi by Lafcadio Hearn, The foreigner nukekubi also appears in Rokurokubi by [Name]
 He based his doctoral thesis on his study of the structures in six major novels by Walter Scott, He based his doctoral thesis on his study of the structures in six major novels by [Name]
 Denslow 's illustrations were so well known that merchants of many products obtained permission to use them to promote their wares, [Name] 's illustrations were so well known that merchants of many products obtained permission to use them to promote their wares
" He performed in a music video of the single Whatzupwitu , featuring Michael Jackson"," He performed in a music video of the single Whatzupwitu , featuring [Name]"
" He was the third son of Constantine the Great , and second by his second wife Fausta , the daughter of Maximian"," He was the third son of [Name] , and second by his second wife [Name] , the daughter of [Name]"
 Opera singer Malena Ernman has criticized the Riksbank for choosing a design where Birgit Nilsson has been depicted performing Die Walküre by Richard Wagner, Opera singer [Name] has criticized the Riksbank for choosing a design where [Name] has been depicted performing Die Walküre by [Name]
" However , feeling that the east still required some sort of imperial presence , he elevated his cousin Constantius Gallus to caesar of the eastern provinces"," However , feeling that the east still required some sort of imperial presence , he elevated his cousin [Name] to caesar of the eastern provinces"
" During filming , Kong 's rubber skin dried out quickly under studio lights , making it necessary to replace it often and completely rebuild his facial features"," During filming , [Name] 's rubber skin dried out quickly under studio lights , making it necessary to replace it often and completely rebuild his facial features"
" Reviewers were uncertain what to think of the book , with one comparing it to Offenbach 's opera The Tales of Hoffmann"," Reviewers were uncertain what to think of the book , with one comparing it to [Name] 's opera The Tales of Hoffmann"
" As an extra measure to ensure the loyalty of his cousin , he married the elder of his two sisters , Constantina , to him"," As an extra measure to ensure the loyalty of his cousin , he married the elder of his two sisters , [Name] , to him"
" In the field of cryptography , the term knapsack problem is often used to refer specifically to the subset sum problem and is commonly known as one of Karp 's 21 NP-complete problems"," In the field of cryptography , the term knapsack problem is often used to refer specifically to the subset sum problem and is commonly known as one of [Name] 's 21 NP-complete problems"
" It was in 1975 , when Woody Woodward took over the head coaching job at Florida State , that Martin would be reunited with his alma mater"," It was in 1975 , when [Name] took over the head coaching job at Florida State , that [Name] would be reunited with his alma mater"
" Again , Magnentius withdrew , this time to southern Gaul"," Again , [Name] withdrew , this time to southern Gaul"
" Prince 's younger sister , Tyka , was born on May 18 , 1960"," Prince 's younger sister , [Name] , was born on May 18 , 1960"
" In 1323 - 4 Bishop Roger Northburgh , recently appointed and at war with much of the ecclesiastical establishment in his diocese , instigated a series of canonical visitations that took in all of the abbeys and smaller houses around Shrewsbury"," In 1323 - 4 Bishop [Name] , recently appointed and at war with much of the ecclesiastical establishment in his diocese , instigated a series of canonical visitations that took in all of the abbeys and smaller houses around Shrewsbury"
" Although Gallus and Constantina complied with the order at first , when Constantina died in Bithynia , Gallus continued his journey west , passing through Constantinople and Thrace to Poetovio ( Ptuj ) in Pannonia"," Although [Name] and [Name] complied with the order at first , when [Name] died in Bithynia , [Name] continued his journey west , passing through Constantinople and Thrace to Poetovio ( Ptuj ) in Pannonia"
 Gallus was then moved to Pola and interrogated, [Name] was then moved to Pola and interrogated
" Central to this effort is an account of the circumstances of justice , inspired by David Hume , and a fair choice situation for parties facing such circumstances , similar to some of Immanuel Kant 's views"," Central to this effort is an account of the circumstances of justice , inspired by [Name] , and a fair choice situation for parties facing such circumstances , similar to some of [Name] 's views"
 Gallus claimed that it was Constantina who was to blame for all the trouble while he was in charge of the eastern provinces, [Name] claimed that it was [Name] who was to blame for all the trouble while he was in charge of the eastern provinces
 Producer Yoshinori Kitase decided the title to be a shooting game based on his love for first-person shooters and the challenge provided for the developers that would eventually improve their skills, Producer [Name] decided the title to be a shooting game based on his love for first-person shooters and the challenge provided for the developers that would eventually improve their skills
" In most teams , this was his brother Frank , with whom he has played side by side for most of his career"," In most teams , this was his brother [Name] , with whom he has played side by side for most of his career"
" His relative moderation toward paganism is reflected by the fact that it was over twenty years after his death , during the reign of Gratian , that any pagan senator protested his treatment of their religion"," His relative moderation toward paganism is reflected by the fact that it was over twenty years after his death , during the reign of [Name] , that any pagan senator protested his treatment of their religion"
" he elevated his last remaining male relative , Julian , to the rank of caesar"," he elevated his last remaining male relative , [Name] , to the rank of caesar"
 Buddhist scholars consider that both expressions are related to Śīla pāramitā, Buddhist scholars consider that both expressions are related to [Name] pāramitā
 After a time he had withdrawn to Antioch to regroup and prepare for a confrontation with Shapur II, After a time he had withdrawn to Antioch to regroup and prepare for a confrontation with [Name]
 The film also stars Richard O'Brien and Mary Scheer, The film also stars [Name] and [Name]
" He also sang in the Jayne Mansfield movie , The Girl Ca n't Help It ( 1956 )"," He also sang in the [Name] movie , The Girl Ca n't Help It ( 1956 )"
" First to a daughter of his half-uncle Julius Constantius , whose name is unknown"," First to a daughter of his half-uncle [Name] , whose name is unknown"
" All songs written by Neil Young , except where noted"," All songs written by [Name] , except where noted"
 She was a full-sister of Gallus and a half-sister of Julian, She was a full-sister of [Name] and a half-sister of [Name]
 In 2018 it was announced that the remake would return for a ninth season with Simone Kleinsma reprising her role, In 2018 it was announced that the remake would return for a ninth season with [Name] reprising her role
" He had previously served as an assistant coach , along with Johan Neeskens and Ronald Koeman under the managerial tenure of Guus Hiddink"," He had previously served as an assistant coach , along with [Name] and [Name] under the managerial tenure of [Name]"
" His place of death happens to have been named after Helena , mother of Constantine and his own grandmother , thus realizing the prophecy"," His place of death happens to have been named after [Name] , mother of [Name] and his own grandmother , thus realizing the prophecy"
" In 2009 , she appeared alongside Helen Mirren in Phedre at the Royal National Theatre"," In 2009 , she appeared alongside [Name] in Phedre at the Royal National Theatre"
" However a combination of various reasons , from the Great Depression , meant that the situation continued to degenerate , despite Piłsudski 's efforts"," However a combination of various reasons , from the Great Depression , meant that the situation continued to degenerate , despite [Name] 's efforts"
" The Cochrane reviews A Cochrane review on the treatment of ADHD in children with tic disorders such as Tourette syndrome indicated that stimulants in general do not make tics worse , but high doses of dextroamphetamine could exacerbate tics in some individuals"," The Cochrane reviews A Cochrane review on the treatment of ADHD in children with tic disorders such as [Name] syndrome indicated that stimulants in general do not make tics worse , but high doses of dextroamphetamine could exacerbate tics in some individuals"
 Víctor Zambrano was promoted in his place, [Name] was promoted in his place
" Shortly after Apollo 11 , Armstrong announced that he did not plan to fly in space again"," Shortly after Apollo 11 , [Name] announced that he did not plan to fly in space again"
 The most common route of both legal and illicit amphetamine synthesis employs a non-metal reduction known as the Leuckart reaction ( method 1 ), The most common route of both legal and illicit amphetamine synthesis employs a non-metal reduction known as the [Name] reaction ( method 1 )
 Several stories during this time were written by noted science fiction / fantasy author Lin Carter, Several stories during this time were written by noted science fiction / fantasy author [Name]
 Another example employs the Ritter reaction ( method 3 ), Another example employs the [Name] reaction ( method 3 )
" In 1994 , he married comedienne Caroline Aherne but the marriage ended in 1997"," In 1994 , he married comedienne [Name] but the marriage ended in 1997"
 This synthetic intermediate can be transformed into amphetamine using either a Hofmann or Curtius rearrangement ( method 4 ), This synthetic intermediate can be transformed into amphetamine using either a [Name] or [Name] rearrangement ( method 4 )
" In 1894 , he was appointed President of the Board of Trade in the new cabinet of Lord Rosebery , but had to leave this office with that whole Liberal cabinet only the next year"," In 1894 , he was appointed President of the Board of Trade in the new cabinet of Lord [Name] , but had to leave this office with that whole Liberal cabinet only the next year"
